FID,id,agency_code,region_code,national_fire_id,agency_fire_id,national_fire_cause,fire_type_ics,severity_nearest_dsr,fire_was_prescribed,percent_contained,fire_size,response_type,stage_of_control_status,situation_report_date,status_date,latitude,longitude,geometry,fire_year,status_year,record_start,record_end
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f3,17546907,MB,NO,2026_MB_MB-NO101,MB-NO101,N,-1,-1,-1,-1,768.8,MON,OC,2026-06-27T05:00:00,2026-07-31T13:56:00,56.6183,-98.7581,POINT (-225386.00863 843898.561447),2026,2026,2026-07-10T21:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f2,17530646,MB,NO,2026_MB_MB-NO027,MB-NO027,N,-1,-1,-1,-1,7300.0,FUL,UC,2026-06-24T05:00:00,2026-07-31T13:56:00,55.6353,-99.0464,POINT (-249464.734328 738072.921481),2026,2026,2026-07-10T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f1,17524026,MB,NO,2026_MB_MB-NO048,MB-NO048,N,-1,-1,-1,-1,500.0,FUL,UC,2026-06-25T05:00:00,2026-07-31T13:56:00,55.7425,-99.1142,POINT (-252881.923186 750008.730561),2026,2026,2026-07-10T14:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56f0,17314225,MB,NO,2026_MB_MB-NO055,MB-NO055,N,-1,-1,-1,-1,710.3,MOD,OC,2026-06-25T05:00:00,2026-07-31T13:56:00,57.0656,-100.7153,POINT (-338140.389239 901097.489503),2026,2026,2026-07-07T16:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56ef,17157828,MB,NO,2026_MB_MB-NO175,MB-NO175,N,-1,-1,-1,-1,2000.0,MON,OC,2026-07-04T05:00:00,2026-07-31T13:56:00,59.7639,-101.9656,POINT (-379839.836741 1199537.440086),2026,2026,2026-07-05T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56ee,17116555,MB,NO,2026_MB_MB-NO172,MB-NO172,N,-1,-1,-1,-1,3500.0,MON,OC,2026-07-04T05:00:00,2026-07-31T13:56:00,58.1719,-101.9439,POINT (-397469.95098 1027819.860288),2026,2026,2026-07-04T22:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56ed,17088969,MB,NO,2026_MB_MB-NO121,MB-NO121,N,-1,-1,-1,-1,475.0,MON,OC,2026-06-28T05:00:00,2026-07-31T13:56:00,57.7869,-100.1108,POINT (-296167.188809 976202.710555),2026,2026,2026-07-04T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56ec,17089017,MB,NO,2026_MB_MB-NO169,MB-NO169,N,-1,-1,-1,-1,850.0,MON,OC,2026-07-03T05:00:00,2026-07-31T13:56:00,59.6464,-99.0414,POINT (-221482.318357 1173028.289308),2026,2026,2026-07-04T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56eb,17088968,MB,NO,2026_MB_MB-NO120,MB-NO120,N,-1,-1,-1,-1,360.0,MON,OC,2026-06-28T05:00:00,2026-07-31T13:56:00,58.4294,-97.2956,POINT (-130622.82429 1036406.194384),2026,2026,2026-07-04T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56ea,17089013,MB,NO,2026_MB_MB-NO165,MB-NO165,N,-1,-1,-1,-1,22.0,MON,OC,2026-07-03T05:00:00,2026-07-31T13:16:00,58.2581,-96.2861,POINT (-73569.657265 1016193.981657),2026,2026,2026-07-04T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e9,17089016,MB,NO,2026_MB_MB-NO168,MB-NO168,N,-1,-1,-1,-1,50.0,MON,OC,2026-07-03T05:00:00,2026-07-31T13:56:00,57.4083,-97.2681,POINT (-133011.858602 925532.843097),2026,2026,2026-07-04T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e8,17089011,MB,NO,2026_MB_MB-NO163,MB-NO163,N,-1,-1,-1,-1,57.7,MON,OC,2026-07-02T05:00:00,2026-07-31T13:56:00,57.6369,-100.5331,POINT (-321991.254629 962016.779614),2026,2026,2026-07-04T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e7,17089002,MB,NO,2026_MB_MB-NO154,MB-NO154,N,-1,-1,-1,-1,1124.0,MON,OC,2026-07-01T05:00:00,2026-07-31T13:56:00,57.8792,-100.2264,POINT (-302026.705976 986730.074283),2026,2026,2026-07-04T12:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e6,16984028,MB,NO,2026_MB_MB-NO089,MB-NO089,N,-1,-1,-1,-1,11207.9,MON,OC,2026-06-26T05:00:00,2026-07-31T13:56:00,58.9736,-101.5453,POINT (-365802.652052 1111911.238777),2026,2026,2026-07-03T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e5,16984101,MB,NO,2026_MB_MB-NO162,MB-NO162,N,-1,-1,-1,-1,5.0,MON,OC,2026-07-02T05:00:00,2026-07-31T13:56:00,57.5172,-99.4953,POINT (-262629.414118 944279.218844),2026,2026,2026-07-03T00:45:00,2026-12-31T23:59:59.999
cwfif_national_activefires.fid-51f3f70_19fbd81cadc_-56e4,16984100,MB,NO,2026_MB_MB-NO161,MB-NO161,N,-1,-1,-1,-1,26.0,MON,OC,2026-07-02T05:00:00,2026-07-31T13:56:00,57.3278,-99.4956,POINT (-264099.725797 923742.770702),2026,2026,2026-07-03T00:45:00,2026-12-31T23:59:59.999
