lat,lon,hectares,stage_of_control
50.77172852,-89.24790192,5.846591,Unknown
56.34872818,-102.79273987,7.528409,Unknown
63.16109085,-112.81638336,,Unknown
50.6206665,-89.12417603,5.846591,Unknown
50.61960983,-89.15384674,5.846591,Unknown
50.63179398,-88.95542145,5.846591,Unknown
64.48963165,-116.60434723,,Unknown
64.49321747,-116.60632324,,Unknown
55.94524765,-102.62404633,7.528409,Unknown
55.94491196,-102.63561249,7.528409,Unknown
55.94474411,-102.6414032,7.528409,Unknown
55.94457626,-102.64720154,7.528409,Unknown
65.8225708,-114.90988922,,Unknown
65.82640839,-114.91181183,,Unknown
65.86885071,-114.49152374,4.16477251,Unknown
65.8632431,-114.51872253,4.16477251,Unknown
65.86885071,-114.50061798,2.98011351,Unknown
65.8632431,-114.50058746,2.98011351,Unknown
50.16123962,-89.49812317,5.846591,Unknown
50.15964127,-89.5087204,5.846591,Unknown
50.15969086,-89.49214935,5.846591,Unknown
53.17163086,-91.22104645,5.846591,Unknown
50.15846252,-89.46994019,5.846591,Unknown
50.15683365,-89.50722504,5.846591,Unknown
50.16701889,-89.39096069,5.846591,Unknown
65.47135925,-117.06292725,0.0,Unknown
65.28452301,-116.94896698,2.58522749,Unknown
65.86786652,-114.48638916,4.16477251,Unknown
66.36646271,-117.23184967,4.16477251,Unknown
65.87428284,-114.51448059,4.16477251,Unknown
65.86508942,-114.52716064,4.16477251,Unknown
65.46174622,-116.8441925,4.16477251,Unknown
65.45648193,-116.81936646,4.16477251,Unknown
65.49073029,-117.08763123,2.98011351,Unknown
41.77373886,-80.93245697,,Unknown
44.89580154,-89.53222656,,Unknown
51.45737839,-76.75747681,,Unknown
51.36386871,-78.29154205,,Unknown
51.3611908,-78.39418793,,Unknown
51.36032104,-78.39959717,,Unknown
51.36505127,-78.41307831,,Unknown
50.46236038,-89.35024261,5.846591,Unknown
64.60115814,-116.71318054,4.16477251,Unknown
64.88104248,-115.39486694,4.16477251,Unknown
64.81104279,-115.51199341,2.98011351,Unknown
51.19607925,-87.78177643,,Unknown
65.36026764,-116.97133636,4.16477251,Unknown
65.14926147,-117.69907379,4.16477251,Unknown
65.14492798,-117.72084045,2.58522749,Unknown
65.58577728,-117.21008301,2.98011351,Unknown
65.59187317,-117.22409821,2.38778424,Unknown
42.94190979,-94.6802063,,Unknown
43.38167191,-94.09676361,,Unknown
48.18080139,-91.26777649,4.01136351,Unknown
48.14596939,-97.64279175,,Unknown
50.9193306,-89.45645142,5.846591,Unknown
51.16542053,-89.72950745,,Unknown
51.60232925,-92.10295105,,Unknown
51.77024078,-92.0656662,,Unknown
51.76979065,-92.07335663,,Unknown
51.82664108,-92.28088379,5.846591,Unknown
51.82403946,-92.1660614,,Unknown
51.8236084,-92.17366791,,Unknown
63.11959076,-112.78620911,,Unknown
64.43847656,-116.5147171,,Unknown
64.43060303,-116.6231308,,Unknown
64.45552063,-116.35906219,,Unknown
65.17494965,-116.8494873,4.16477251,Unknown
65.86734772,-114.51024628,2.58522749,Unknown
65.54904175,-116.84719849,4.16477251,Unknown
65.53642273,-116.82634735,0.0,Unknown
65.54546356,-116.83305359,0.0,Unknown
64.81486511,-115.80873871,0.0,Unknown
64.81649017,-115.81983185,4.16477251,Unknown
64.83507538,-115.82050323,4.16477251,Unknown
64.83657074,-115.81266022,2.98011351,Unknown
64.83345032,-115.80938721,2.58522749,Unknown
64.82733917,-115.82180023,4.16477251,Unknown
64.82585907,-115.82961273,4.16477251,Unknown
50.83700943,-78.77124786,,Unknown
50.84532166,-78.76185608,,Unknown
50.8404007,-78.77883148,,Unknown
50.85209274,-78.77706146,,Unknown
50.85301971,-78.79317474,,Unknown
51.3881073,-78.29476929,,Unknown
51.38583755,-78.30271912,,Unknown
51.38889313,-78.33528137,,Unknown
51.38357544,-78.31065369,,Unknown
51.57034683,-78.25392914,,Unknown
51.56816864,-78.26168823,,Unknown
51.57477188,-78.25717163,,Unknown
51.5725975,-78.26491547,,Unknown
51.57042313,-78.27266693,,Unknown
51.57920456,-78.26039124,,Unknown
51.19598389,-87.78778076,,Unknown
51.48348236,-87.85435486,,Unknown
51.48022842,-87.86276245,,Unknown
51.489254,-87.86030579,,Unknown
51.4859848,-87.86875916,,Unknown
51.48711395,-87.85300446,,Unknown
25.46493721,-80.35848999,,Unknown
25.47053337,-80.3600235,,Unknown
